wavelength, flux 
498.700,  0.941 
498.800,  0.907 
498.900,  0.871 
499.000,  1.003 
499.100,  0.849 
499.200,  0.982 
499.300,  0.924 
499.400,  0.773 
499.500,  0.957 
499.600,  0.990 
499.700,  0.912 
499.800,  0.888 
499.900,  0.871 
