wavelength, flux 
461.800,  1.002 
461.900,  0.943 
462.000,  0.996 
462.100,  0.978 
462.200,  0.952 
462.300,  1.007 
462.400,  0.951 
462.500,  1.025 
462.600,  0.973 
462.700,  1.005 
462.800,  0.991 
462.900,  0.927 
463.000,  0.968 
463.100,  0.999 
463.200,  0.985 
463.300,  0.970 
463.400,  0.951 
463.500,  0.987 
463.600,  0.962 
463.700,  0.988 
463.800,  1.022 
463.900,  1.041 
464.000,  0.969 
464.100,  0.976 
464.200,  1.016 
464.300,  0.982 
464.400,  0.971 
464.500,  0.968 
464.600,  0.993 
464.700,  0.989 
464.800,  0.991 
464.900,  0.993 
465.000,  0.996 
465.100,  0.986 
465.200,  1.013 
465.300,  1.039 
465.400,  0.975 
465.500,  1.025 
465.600,  0.994 
465.700,  0.960 
465.800,  0.981 
465.900,  1.003 
466.000,  1.010 
466.100,  0.995 
466.200,  0.972 
466.300,  0.976 
466.400,  0.993 
466.500,  0.985 
466.600,  0.980 
466.700,  0.964 
466.800,  1.031 
466.900,  0.982 
467.000,  1.033 
467.100,  0.963 
467.200,  1.030 
467.300,  0.991 
467.400,  1.007 
467.500,  1.009 
467.600,  1.029 
467.700,  0.973 
467.800,  1.015 
467.900,  1.000 
468.000,  1.009 
468.100,  0.976 
468.200,  0.989 
468.300,  0.994 
468.400,  1.045 
468.500,  1.017 
468.600,  1.008 
468.700,  1.001 
468.800,  0.995 
468.900,  0.996 
469.000,  0.984 
469.100,  0.979 
469.200,  1.048 
469.300,  1.006 
469.400,  0.967 
469.500,  0.975 
469.600,  1.028 
469.700,  1.048 
469.800,  0.981 
469.900,  1.001 
470.000,  1.012 
470.100,  1.007 
470.200,  0.995 
470.300,  0.999 
470.400,  0.960 
470.500,  0.977 
470.600,  0.992 
470.700,  0.991 
470.800,  0.971 
470.900,  0.986 
471.000,  0.975 
471.100,  0.972 
471.200,  1.023 
471.300,  0.999 
471.400,  1.015 
471.500,  0.974 
471.600,  1.036 
471.700,  0.993 
471.800,  1.003 
471.900,  1.021 
472.000,  0.987 
472.100,  0.995 
472.200,  0.990 
